1,0,0.533
1,1.09668,8.964
1,1.771484,8.967
1,2.446777,8.97
1,3.121582,8.976
1,3.796875,8.982
1,4.47168,7.954
1,5.146484,6.913
1,5.821777,6.113
1,6.496582,5.481
1,7.171875,4.967
1,7.84668,4.542
1,8.521484,4.185
1,9.196777,3.88
1,9.871582,3.617
1,10.54688,3.388
1,11.22168,3.186
1,11.89648,3.008
1,12.57178,2.849
1,13.24658,2.706
1,13.92188,2.577
1,14.59668,2.46
1,15.27197,2.354
1,15.94678,2.257
1,16.62158,2.168
1,17.29688,2.085
1,17.97168,2.009
1,18.64697,1.939
1,19.32178,1.874
1,19.99658,1.813
1,20.67188,1.756
1,21.34668,1.703
1,22.02197,1.653
1,22.69678,1.607
1,23.37158,1.563
1,24.04688,1.521
1,24.72168,1.482
1,25.39697,1.446
1,26.07178,1.411
1,26.74658,1.378
1,27.42188,1.346
1,28.09668,1.316
1,28.77197,1.288
1,29.44678,1.261
1,30.12207,1.235
1,30.79688,1.211
1,31.47168,1.187
1,32.14697,1.165
1,32.82178,1.144
1,33.49707,1.123
1,34.17188,1.104
1,34.84668,1.085
1,35.52197,1.067
1,36.19678,1.05
1,36.87207,1.033
1,37.54688,1.017
1,38.22168,1.002
1,38.89697,0.987
1,39.57178,0.973
1,40.24707,0.959
1,40.92188,0.946
1,41.59717,0.934
1,42.27197,0.921
1,42.94678,0.91
1,43.62207,0.898
1,44.29688,0.888
1,44.97217,0.877
1,45.64697,0.867
1,46.32178,0.857
1,46.99707,0.848
1,47.67188,0.838
1,48.34717,0.83
1,49.02197,0.821
1,49.69727,0.813
1,50.37207,0.805
1,51.04688,0.797
1,51.72217,0.79
1,52.39697,0.782
1,53.07227,0.775
1,53.74707,0.769
1,54.42188,0.762
1,55.09717,0.756
1,55.77197,0.75
1,56.44727,0.744
1,57.12207,0.738
1,57.79688,0.732
1,58.47217,0.727
1,59.14697,0.722
1,59.82227,0.717
1,60.49707,0.712
1,61.17236,0.707
1,61.84717,0.703
1,62.52197,0.699
1,63.19727,0.694
1,63.87207,0.69
1,64.54736,0.686
1,65.22217,0.683
1,65.89697,0.679
1,66.57227,0.675
1,67.24707,0.672
1,67.92236,0.669
1,68.59717,0.666
1,69.27197,0.663
1,69.94727,0.66
1,70.62207,0.657
1,71.29736,0.654
1,71.97217,0.652
1,72.64746,0.649
1,73.32227,0.647
1,73.99707,0.645
1,74.67236,0.643
1,75.34717,0.641
1,76.02246,0.639
1,76.69727,0.637
1,77.37207,0.635
1,78.04736,0.633
1,78.72217,0.632
1,79.39746,0.63
1,80.07227,0.629
1,80.74707,0.628
1,81.42236,0.627
1,82.09717,0.626
1,82.77246,0.625
1,83.44727,0.624
